ICAO,TIPO,NOME,MUNICIPIO,UF,LATD,LONGT,DIST,APROXIMCAO,SUPERFICIE,COMPRIMENTO,LARGURA,ORIENTACAO
SJWA,Privado,Aerovaço,Bom Jesus do Galho,MG,-19.588055555555556,-42.45805555555556,9.123766693248983,VFR Diurna,Terra,500,18,110.0
SJJJ,Privado,Aeroxingu,Altamira,PA,-3.1719444444444442,-52.19166666666666,10.406655504092761,VFR Diurna,Piçarra,700,18,130.0
SNXE,Privado,Aero Z Ferrus,Ferreira Gomes,AP,0.9933333333333333,-51.12083333333334,14.18942546895007,VFR Diurna,Piçarra,1000,18,50.0
SJTQ,Privado,AGD,Campos de Júlio,MT,-13.698055555555555,-59.25833333333333,10.511537359956108,VFR Diurna,Terra,800,18,100.0
SWGC,Privado,Agricenter,Ponta Porã,MS,-22.62527777777778,-55.57527777777778,11.788035372024412,VFR Diurna,Cascalho,1000,30,180.0
SWAG,Privado,Agrícola Rio Galhão,Mateiros,TO,-10.424722222222222,-46.07694444444445,3.726205020932783,VFR Diurna,Cascalho,1275,23,80.0
SJSS,Privado,Agrifor,Sorriso,MT,-12.49861111111111,-55.69611111111111,6.944235446855035,VFR Diurna,Cascalho,800,18,160.0
SIHW,Privado,Agrishow,Ribeirão Preto,SP,-21.211666666666666,-47.86611111111111,8.26126410229701,VFR Diurna,Terra,550,18,50.0
SIZU,Privado,Agrochapada,Paranatinga,MT,-13.435833333333333,-54.276666666666664,5.52388707996662,VFR Diurna,Cascalho,1300,30,40.0
SNTP,Privado,Agropalma,Tailândia,PA,-2.5294444444444446,-48.75472222222222,10.47056670159114,VFR Diurna,Piçarra,1300,20,130.0
SDWC,Privado,Agropastoril Bom Pastor,Rondonópolis,MT,-16.466944444444444,-54.71388888888889,6.881098669857956,VFR Diurna,Asfalto,1000,18,70.0
SNMF,Privado,Agropastoril Monte Alegre,Monte Belo,MG,-21.350555555555555,-46.25055555555556,8.722349362130695,VFR Diurna,Terra,797,23,30.0
SIEC,Privado,Agropecuária Cachoeira,Jaraguari,MS,-20.05138888888889,-54.25666666666667,8.934517131521813,VFR Diurna,Cascalho,800,18,100.0
SIZS,Privado,Agropecuária Equus,Gaúcha do Norte,MT,-13.537777777777778,-53.439166666666665,4.700034287043305,VFR Diurna,Cascalho,800,20,160.0
SNXS,Privado,Agropecuária Lazarotto,Tapurah,MT,-12.616111111111111,-56.62416666666667,7.863542757993377,VFR Diurna,Cascalho,1000,20,100.0
