ICAO,TIPO,NOME,MUNICIPIO,UF,LATD,LONGT,DIST,APROXIMCAO,SUPERFICIE,COMPRIMENTO,LARGURA,ORIENTACAO
SIBI,Privado,Fazenda Boa Luz,Laranjeiras,SE,-10.838055555555556,-37.19611111111111,11.774077789500543,VFR Diurna,Terra,430,18,10.0
SSBW,Privado,Fazenda Boa Sorte,Sidrolândia,MS,-20.913055555555555,-55.01361111111111,10.079639275891708,VFR Diurna,Grama,550,40,80.0
SDCE,Privado,Fazenda Boa Sorte,Aliança do Tocantins,TO,-11.301666666666668,-48.678888888888885,1.7007755130172264,VFR Diurna,Cascalho,1200,20,30.0
SJVS,Privado,Fazenda Boa Vista,Santa Fé,PR,-23.079166666666666,-51.77916666666667,10.518777719974036,VFR Diurna,Asfalto,1000,18,140.0
SSMV,Privado,Fazenda Boa Vista,Pirassununga,SP,-22.044722222222223,-47.559999999999995,9.125299999296491,VFR Diurna,Terra,800,20,150.0
SNLZ,Privado,Fazenda Boca da Mata,Divinópolis do Tocantins,TO,-9.431944444444444,-49.59111111111111,3.6613172362308335,VFR Diurna,Terra,1004,20,120.0
SIEV,Privado,Fazenda Boca da Onça,Bodoquena,MS,-20.766666666666666,-56.70722222222223,11.104981211872868,VFR Diurna,Grama,930,23,150.0
SNHU,Privado,Fazenda Bola Sete ,Itinga do Maranhão,MA,-4.569166666666667,-47.471111111111114,8.530302634732454,VFR Diurna,Terra,1000,20,70.0
SSQG,Privado,Fazenda Bom Gosto ,Rondon do Pará,PA,-4.871944444444445,-48.9575,8.130217916156832,VFR Diurna,Piçarra,700,18,40.0
SDCZ,Privado,Fazenda Bom Jardim,Mangaratiba,RJ,-22.93611111111111,-44.09861111111111,10.979443435966154,VFR Diurna,Grama,1190,23,110.0
SWXN,Privado,Fazenda Bom Jardim,Montividiu,GO,-17.247222222222224,-51.27055555555555,4.928658508291887,VFR Diurna,Cascalho,850,18,80.0
SIFJ,Privado,Fazenda Bom Jesus,Pedra Preta,MT,-16.79416666666667,-54.11,6.5506717742873075,VFR Diurna,Cascalho,850,18,80.0
SWJM,Privado,Fazenda Bom Jesus,Campos Belos,GO,-12.966388888888888,-46.56527777777777,2.2049784089533966,VFR Diurna,Terra,900,40,60.0
SWMH,Privado,Fazenda Bom Pastor,Itapirapuã,GO,-15.53888888888889,-51.01777777777777,3.3909381782030517,VFR Diurna,Cascalho,800,20,160.0
SJZQ,Privado,Fazenda Bom Retiro,Itaqui,RS,-29.308055555555555,-56.19277777777778,17.91787671409082,VFR Diurna,Grama,700,47,90.0
SIBC,Privado,Fazenda Bonança,Pereira Barreto,SP,-20.67638888888889,-51.030833333333334,8.002394250133388,VFR Diurna,Asfalto,1400,23,50.0
SIKN,Privado,Fazenda Bonanza,Arame,MA,-5.157222222222223,-45.91555555555556,8.34607790270524,VFR Diurna,Cascalho,820,18,100.0
SIDK,Privado,Fazenda Boqueirão de Cedro,Arraias,TO,-12.889999999999999,-46.69333333333333,2.079577948633924,VFR Diurna,Aço,1100,18,60.0
SIVV,Privado,Fazenda Borereo,Barão de Melgaço,MT,-16.927500000000002,-56.23305555555556,8.433412979055909,VFR Diurna,Grama,1100,30,30.0
SNRB,Privado,FAZENDA BRASA,Rosário do Sul,RS,-30.345,-55.05166666666666,18.44744863419088,VFR Diurna,Grama,400,18,500.0
SSQS,Privado,Fazenda Brasil,Barra do Garças,MT,-15.034166666666666,-52.31722222222223,4.08908541383094,VFR Diurna,Asfalto,1600,25,90.0
SSVD,Privado,Fazenda Brasília do Sul,Juti,MS,-22.701666666666664,-54.60861111111111,11.323061238812636,VFR Diurna,Grama,900,18,20.0
SJFN,Privado,Fazenda Brasil Novo,Coxim,MS,-18.371666666666666,-54.928888888888885,8.172313939359935,VFR Diurna,Grama,900,30,180.0
SDBZ,Privado,Fazenda Brauna,Arraias,TO,-12.549444444444445,-46.88666666666666,1.9364774083594274,VFR Diurna,Cascalho,1250,23,40.0
SSJJ,Privado,Fazenda Brejon,Camapuã,MS,-19.385555555555555,-53.6975,8.065703689268927,VFR Diurna,Grama,1000,40,10.0
SDRQ,Privado,Fazenda Brinquinho,São Desidério,BA,-12.827222222222222,-46.25194444444445,2.5239762164802633,VFR Diurna,Terra,1600,25,90.0
SWYQ,Privado,Fazenda Brusque,São Félix do Xingu,PA,-9.284444444444444,-51.751666666666665,4.76399928605482,VFR Diurna,Cascalho,1391,20,30.0
SSBQ,Privado,Fazenda Brusque,Santa Cruz do Xingú,MT,-10.149722222222222,-52.286944444444444,4.5269174540521995,VFR Diurna,Cascalho,950,18,180.0
SJTB,Privado,Fazenda Buriti,Chapada dos Guimarães,MT,-15.465,-55.6225,7.282374698544424,VFR Diurna,Cascalho,1400,20,70.0
SJNI,Privado,Fazenda Buriti,Valentim Gentil,SP,-20.479999999999997,-50.1875,7.613127231959278,VFR Diurna,Grama,900,30,120.0
SSQJ,Privado,Fazenda Buriti 10,Paracatu,MG,-16.90222222222222,-46.6175,4.456522693940304,VFR Diurna,Terra,900,20,170.0
SNNN,Privado,Fazenda Buriti II,Arinos,MG,-15.989722222222222,-45.9975,4.0774005464326635,VFR Diurna,Terra,1100,23,10.0
SDYI,Privado,Fazenda Buritiz,São Gonçalo do Abaeté,MG,-17.91722222222222,-45.42111111111111,5.949296695647271,VFR Diurna,Terra,760,20,170.0
SJGC,Privado,Fazenda Busato I,São Desidério,BA,-12.901666666666667,-45.5,3.2714781742271284,VFR Diurna,Terra,1300,30,90.0
SNHK,Privado,Fazenda  Caacupê,Nioaque,MS,-21.29416666666667,-55.82361111111111,10.887912123140715,VFR Diurna,Cascalho,1200,18,20.0
SDVQ,Privado,Fazenda Cabeceira Verde,Campos Lindos,TO,-8.15638888888889,-46.73861111111111,5.252343230747611,VFR Diurna,Cascalho,1000,18,60.0
SSCM,Privado,Fazenda Caçadinha,Rio Brilhante,MS,-21.614722222222223,-54.79611111111111,10.513203797582644,VFR Diurna,Asfalto,850,23,30.0
SJJC,Privado,Fazenda Cachoeira,Ponta Porã,MS,-22.50027777777778,-55.36083333333333,11.562627810438075,VFR Diurna,Terra,742,20,80.0
SWTJ,Privado,Fazenda Cachoeira,Tangará da Serra,MT,-14.565833333333334,-57.778055555555554,9.143133976911473,VFR Diurna,Cascalho,1000,20,20.0
SIIT,Privado,Fazenda Cachoeira,Anastácio,MS,-20.759722222222223,-55.57194444444445,10.318901937287611,VFR Diurna,Asfalto,1000,18,50.0
SJFK,Privado,Fazenda Cachoeira,Araguaçu,TO,-12.591111111111111,-49.525,0.8586123243098618,VFR Diurna,Terra,1200,18,100.0
SWQX,Privado,Fazenda Cachoeira,Água Clara,MS,-19.698333333333334,-53.081388888888895,7.965911347465465,VFR Diurna,Terra,1100,20,140.0
SWKA,Privado,Fazenda Cachoeira 2,Buritizeiro,MG,-17.389722222222222,-45.09388888888889,5.725683722448017,VFR Diurna,Terra,1100,30,100.0
SJYH,Privado,Fazenda Cachoeira Alta,Santana do Araguaia,PA,-8.780555555555557,-50.96888888888889,4.758027297676221,VFR Diurna,Piçarra,799,18,10.0
SIFN,Privado,Fazenda Cachoeira Branca,Ribas do Rio Pardo,MS,-20.891111111111112,-53.40416666666667,9.151236815990814,VFR Diurna,Saibro,800,18,110.0
SNFB,Privado,Fazenda Cachoeira do Bambuzal,Itaguari,GO,-15.931111111111111,-49.67833333333333,3.0686286497592765,VFR Diurna,Terra,750,20,160.0
SIZC,Privado,Fazenda Cachoeira do Café,Formosa do Rio Preto,BA,-11.273611111111112,-45.61388888888889,3.5974235143166076,VFR Diurna,Terra,1200,25,90.0
SSCH,Privado,Fazenda Cachoeirão,Nova Andradina,MS,-21.59722222222222,-53.22555555555556,9.683191893529404,VFR Diurna,Terra,1100,23,90.0
SJWW,Privado,Fazenda Cachoeira Preta,Água Clara,MS,-20.02138888888889,-53.21611111111111,8.310704298755793,VFR Diurna,Asfalto,1200,20,150.0
SNWF,Privado,Fazenda Cachoeirinha,Ponta Porã,MS,-22.438055555555557,-55.23166666666667,11.438095504972155,VFR Diurna,Grama,980,50,60.0
SIOK,Privado,Fazenda Cachoeirinha,Perdizes,MG,-19.35888888888889,-47.12861111111111,6.567314929695584,VFR Diurna,Cascalho,900,30,80.0
SWXG,Privado,Fazenda Cachoeirinha,Caiapônia,GO,-17.232499999999998,-51.650277777777774,5.119575795626083,VFR Diurna,Terra,1200,23,70.0
SJJB,Privado,Fazenda Cacique,Brasilândia,MS,-20.76861111111111,-52.77861111111111,8.741869458863043,VFR Diurna,Terra,973,30,150.0
SJIZ,Privado,Fazenda Cafenápolis,Eunápolis,BA,-16.195555555555554,-39.5175,9.788786010463303,VFR Diurna,Terra,820,20,110.0
SDCR,Privado,Fazenda Caiçara,Itanhaém,SP,-24.070555555555554,-46.82888888888889,11.239444499365659,VFR Diurna,Terra,560,18,90.0
SIMS,Privado,Fazenda Califórnia,Camapuã,MS,-19.094166666666666,-54.18666666666666,8.153474421305852,VFR Diurna,Cascalho,900,18,120.0
SWCF,Privado,Fazenda Califórnia,São Félix do Xingu,PA,-9.737499999999999,-51.49722222222222,4.25225202679506,VFR Diurna,Cascalho,1062,25,170.0
SDSA,Privado,Fazenda Califórnia,Corumbá,MS,-18.035555555555558,-55.71638888888889,8.579576816414983,VFR Diurna,Grama,1000,20,90.0
SNQI,Privado,Fazenda Camagril Agropecuária,Diamantino,MT,-14.118055555555555,-57.34111111111111,8.643725695805076,VFR Diurna,Cascalho,1100,18,170.0
SIXB,Privado,Fazenda Cambara,Porto dos Gaúchos,MT,-11.619444444444445,-56.561388888888885,7.912753911242055,VFR Diurna,Cascalho,1500,30,100.0
SWEV,Privado,Fazenda Cambara 1,Correntina,BA,-13.604722222222222,-46.05222222222222,2.784242269529024,VFR Diurna,Terra,950,20,180.0
SIJJ,Privado,Fazenda Cambay,Juti,MS,-22.67,-54.32277777777778,11.150885213712082,VFR Diurna,Cascalho,900,18,180.0
SDMY,Privado,Fazenda Cambuhy,Matão,SP,-21.63277777777778,-48.47944444444445,8.637666044213452,"VFR Diurna/Noturna, IFR Diurna/Noturna",Asfalto,1500,30,90.0
SSWR,Privado,Fazenda Campana,Rio Brilhante,MS,-21.888055555555557,-54.29527777777778,10.465477823790316,VFR Diurna,Cascalho,1000,20,10.0
SDTD,Privado,Fazenda Campanário,Laguna Carapã,MS,-22.78222222222222,-55.07361111111111,11.637327212253751,VFR Diurna,Grama,1000,30,160.0
SSNK,Privado,Fazenda Campanário,Bodoquena,MS,-20.41111111111111,-56.53055555555555,10.730833631740763,VFR Diurna,Terra,600,18,70.0
SNCM,Privado,FAZENDA CAMPARINO,Cáceres,MT,-16.238333333333333,-58.38666666666666,10.147269610863576,VFR Diurna,Cascalho,1000,18,20.0
SSKA,Privado,Fazenda Campinas,Corumbá,MS,-18.905555555555555,-56.359722222222224,9.616624658904334,VFR Diurna,Grama,600,23,10.0
SJJL,Privado,Fazenda Campo Aberto,Barreiras,BA,-11.788333333333334,-45.96472222222223,3.0557682375476256,VFR Diurna,Asfalto,1080,30,160.0
SJDN,Privado,Fazenda Campo Alegre,Aquidauana,MS,-19.45611111111111,-55.740833333333335,9.501257182085086,VFR Diurna,Grama,550,20,60.0
SWCJ,Privado,Fazenda Campo Alegre,Palmeira do Piauí,PI,-8.591111111111111,-44.248333333333335,6.315359900988412,VFR Diurna,Cascalho,1100,20,90.0
SDCL,Privado,Fazenda Campo Alegre,Cerqueira César,SP,-23.154166666666665,-49.20888888888889,10.163647187463491,VFR Diurna,Terra,600,23,20.0
SNLJ,Privado,Fazenda Campo Aliancinha,Corumbá,MS,-18.605,-56.215,9.319015505942675,VFR Diurna,Grama,850,18,170.0
SNTC,Privado,Fazenda Campo Alto,Prata,MG,-19.357222222222223,-48.68861111111111,6.357743195030028,VFR Diurna,Asfalto,900,23,10.0
SJNU,Privado,Fazenda Campo Alto,Ribeirão Cascalheira,MT,-13.03888888888889,-51.713055555555556,2.943312478953843,VFR Diurna,Terra,1000,20,140.0
SIWY,Privado,Fazenda Campo Augusta,Corumbá,MS,-17.512777777777778,-55.77305555555555,8.331143402066871,VFR Diurna,Grama,700,40,170.0
SSCA,Privado,Fazenda Campo Bom,Chapadão do Sul,MS,-18.739444444444445,-52.62,6.9111303367006585,VFR Diurna,Grama,1200,23,80.0
SDOQ,Privado,Fazenda Campo Claro,Ribeirão Cascalheira,MT,-12.674166666666666,-51.739444444444445,2.9872675925924463,VFR Diurna,Terra,1100,20,120.0
SJPK,Privado,Fazenda Campo das Princesas,Timon,MA,-5.322222222222222,-42.82944444444445,9.707650174660202,VFR Diurna,Asfalto,900,18,130.0
SJFL,Privado,Fazenda Campo Formoso,Sandolândia,TO,-12.561666666666667,-49.86555555555556,1.1799907145481077,VFR Diurna,Cascalho,800,20,60.0
SWGJ,Privado,Fazenda Campo Grande,Baianópolis,BA,-12.712222222222222,-44.59055555555556,4.189340271878167,VFR Diurna,Terra,1400,23,110.0
SIUC,Privado,Fazenda Campo Grande,lagoas,MG,-15.179444444444444,-45.225,4.161370337571479,VFR Diurna,Terra,1600,23,90.0
SDKO,Privado,Fazenda Campo Grande,Colômbia,SP,-20.25777777777778,-48.78861111111111,7.257801639963836,VFR Diurna,Asfalto,1500,23,180.0
SJZF,Privado,Fazenda Campo Triste,Três Lagoas,MS,-20.625,-52.038888888888884,8.29615932633295,VFR Diurna,Terra,600,30,130.0
SNKV,Privado,Fazenda Campo Verde,Tartarugalzinho,AP,1.0427777777777778,-50.51694444444444,14.15102196337864,VFR Diurna,Cascalho,510,18,70.0
SDVT,Privado,Fazenda Campo Verde,Taquarussu,MS,-22.651666666666664,-53.507777777777775,10.751800208153483,VFR Diurna,Asfalto,1000,18,10.0
SDVA,Privado,Fazenda Campo Vitória,Vargem Grande do Sul,SP,-21.842777777777776,-46.933055555555555,9.031560425482176,VFR Diurna,Terra,600,23,160.0
SDZL,Privado,Fazenda Campo Zélia,Corumbá,MS,-18.6075,-55.69,8.90676463425412,VFR Diurna,Grama,1250,20,170.0
SJBH,Privado,Fazenda Canaã,Canarana,MT,-12.801111111111112,-52.52638888888889,3.7616504721586415,VFR Diurna,Cascalho,900,18,20.0
SWCR,Privado,Fazenda Canaã,Formosa do Rio Preto,BA,-10.3525,-45.56472222222222,4.1572902091044925,VFR Diurna,Terra,1000,20,130.0
SNNB,Privado,Fazenda Cana Brava,Paracatu,MG,-17.17388888888889,-46.3,4.849974067640997,VFR Diurna,Asfalto,700,20,110.0
SNZK,Privado,Fazenda Canadá,Itacarambi,MG,-15.023333333333333,-44.04333333333333,5.14152268842175,VFR Diurna,Asfalto,1560,24,120.0
SWXX,Privado,Fazenda Canadá,Uberlândia,MG,-18.861944444444447,-48.42305555555555,5.872202578018233,VFR Diurna,Grama,1200,20,50.0
SJER,Privado,Fazenda Canadá,Acreúna,GO,-17.361666666666668,-50.33861111111111,4.635156624000138,VFR Diurna,Asfalto,1000,18,140.0
SWXA,Privado,Fazenda Canadazinho,Jussara,GO,-15.042222222222222,-51.400555555555556,3.3302393511281516,VFR Diurna,Terra,900,18,80.0
SJJW,Privado,Fazenda Canamari,Quirinópolis,GO,-18.548055555555557,-50.38111111111111,5.77724843328349,VFR Diurna,Terra,1000,20,30.0
SDQD,Privado,Fazenda Candelária,Vila Bela da Santíssima Trindade,MT,-16.111111111111114,-60.01305555555555,11.665560876828321,VFR Diurna,Grama,900,18,60.0
SJDZ,Privado,Fazenda Canduá,Unaí,MG,-15.834166666666667,-46.57083333333334,3.5873158102155163,VFR Diurna,Terra,1300,23,110.0
SJZS,Privado,Fazenda Canel,Uruçuí,PI,-7.5344444444444445,-44.82055555555556,6.743174990360052,VFR Diurna,Piçarra,1100,24,140.0
SWGZ,Privado,Fazenda Cangaia,Tailândia,PA,-3.0125,-48.900277777777774,9.988349640925808,VFR Diurna,Piçarra,750,18,110.0
SSFQ,Privado,Fazenda Canoa Quebrada,Grajaú,MA,-5.938055555555556,-46.24888888888889,7.498470548784442,VFR Diurna,Cascalho,1200,23,20.0
SNHE,Privado,Fazenda Canuanã,Formoso do Araguaia,TO,-11.977500000000001,-49.908055555555556,1.5299270235965037,VFR Diurna,Terra,1094,28,80.0
SSGT,Privado,Fazenda Capão Alto,Rio Brilhante,MS,-21.698888888888888,-54.81388888888888,10.592415248774428,VFR Diurna,Terra,900,25,140.0
SDIC,Privado,Fazenda Capão Seco,Formiga,MG,-20.711944444444445,-45.68944444444444,8.304451194694431,VFR Diurna,Asfalto,700,20,10.0
SSGH,Privado,Fazenda Capão Verde,Aquidauana,MS,-20.07361111111111,-56.068333333333335,10.163741613976566,VFR Diurna,Cascalho,1050,50,100.0
SNZD,Privado,Fazenda Capivara,Pimenteiras do Oeste,RO,-13.391388888888889,-61.06888888888889,12.305114918747417,VFR Diurna,Cascalho,1000,20,70.0
SSGQ,Privado,Fazenda Capivari,Rio Brilhante,MS,-21.764722222222222,-54.32333333333334,10.375927271517817,VFR Diurna,Terra,550,40,10.0
SIJK,Privado,Fazenda Capuame,Camaçari,BA,-12.692222222222222,-38.196666666666665,10.577811916378156,VFR Diurna,Terra,900,23,130.0
SJCJ,Privado,Fazenda Carajás,Sapezal,MT,-13.404444444444445,-58.77222222222222,10.010395830902887,VFR Diurna,Cascalho,1200,18,10.0
SDRU,Privado,Fazenda Caramuru,Inúbia Paulista,SP,-21.693333333333335,-50.93583333333333,8.959066830436205,VFR Diurna,Asfalto,955,20,150.0
SJDW,Privado,Fazenda Carandá,Caracol,MS,-22.126944444444444,-57.28944444444444,12.48527326629059,VFR Diurna,Cascalho,1200,60,170.0
SWJC,Privado,Fazenda Carandá,Rio Verde de Mato Grosso,MS,-19.05138888888889,-55.09777777777778,8.755574172463287,VFR Diurna,Terra,1100,18,30.0
SSZN,Privado,Fazenda Carandazal,Cáceres,MT,-16.70611111111111,-58.10944444444445,10.047909339696764,VFR Diurna,Asfalto,800,20,70.0
SJIU,Privado,Fazenda Caregi,Ipiranga do Norte,MT,-12.214444444444444,-55.98722222222222,7.259848079388606,VFR Diurna,Cascalho,1000,18,30.0
SNIW,Privado,Fazenda Carmelo,Maracaju,MS,-21.47833333333333,-55.331388888888895,10.720725733939176,VFR Diurna,Grama,900,18,170.0
SSFZ,Privado,Fazenda Carolina,Buritis,MG,-15.649166666666666,-46.44305555555555,3.52601112807499,VFR Diurna,Terra,900,30,30.0
SWYL,Privado,Fazenda Carrapato,Itapipoca,CE,-3.511111111111111,-39.64361111111111,13.165484666236697,VFR Diurna,Piçarra,750,18,110.0
SNQO,Privado,Fazenda Carvalho,Corumbá,MS,-17.567777777777778,-56.48277777777778,8.963901766337198,VFR Diurna,Grama,800,18,140.0
SJSN,Privado,Fazenda Carvalho,São Luiz do Norte,GO,-14.837222222222223,-49.364444444444445,1.9309970718149796,VFR Diurna,Cascalho,800,18,110.0
SDTO,Privado,Fazenda Cataco,Ubarana,SP,-21.255277777777778,-49.79472222222222,8.31863371119246,VFR Diurna,Asfalto,1200,20,180.0
SICF,Privado,Fazenda Catuaí,Juara,MT,-11.468333333333334,-57.60944444444445,8.971163852265633,VFR Diurna,Terra,800,18,70.0
SWFC,Privado,Fazenda Cedro,Lucas do Rio Verde,MT,-12.97638888888889,-56.183611111111105,7.413648709735166,VFR Diurna,Cascalho,1150,18,180.0
SSYZ,Privado,Fazenda Cedro,Aral Moreira,MS,-22.85027777777778,-55.411944444444444,11.880378710397625,VFR Diurna,Asfalto,1000,23,90.0
SNCG,Privado,Fazenda Cedro,Campo Grande,MS,-20.761944444444445,-54.44777777777777,9.616909173558263,VFR Diurna,Terra,800,25,130.0
SSCJ,Privado,Fazenda Celeiro,Rio Brilhante,MS,-21.541666666666668,-54.66166666666666,10.376502568570755,VFR Diurna,Cascalho,800,18,10.0
SSHU,Privado,Fazenda Centenário,Aquidauana,MS,-19.458055555555553,-56.04527777777778,9.72811124023924,VFR Diurna,Grama,700,20,120.0
SNHX,Privado,Fazenda Central,Aquidauana,MS,-19.41583333333333,-56.19333333333333,9.811666277390847,VFR Diurna,Areia,600,20,80.0
SNCC,Privado,Fazenda Centrino,Cabixi,RO,-13.57611111111111,-60.80277777777778,12.046561545176628,VFR Diurna,Cascalho,1000,18,130.0
SDIP,Privado,Fazenda Centro de Vôo a Vela Ipuã,Caçapava,SP,-23.043333333333337,-45.775555555555556,10.480231007726344,VFR Diurna,Grama,600,20,80.0
SSCW,Privado,Fazenda Centro Oeste,Nova Maringá,MT,-13.405555555555557,-57.151111111111106,8.390917635481353,VFR Diurna,Cascalho,700,18,150.0
SWCE,Privado,Fazenda Centúria Austrália,Formosa do Rio Preto,BA,-11.352222222222222,-46.16138888888889,3.0854535378045553,VFR Diurna,Terra,1700,25,60.0
SWVI,Privado,Fazenda Centúria Vitória,Formosa do Rio Preto,BA,-11.230833333333333,-46.04416666666666,3.249633526346563,VFR Diurna,Terra,1600,25,90.0
SDQL,Privado,Fazenda Cerro Azul,Nioaque,MS,-21.18305555555556,-55.73416666666667,10.74532528993049,VFR Diurna,Cascalho,1100,40,20.0
SJJD,Privado,Fazenda Cerro Porã,Porto Murtinho,MS,-22.034722222222225,-57.469166666666666,12.54199770081148,VFR Diurna,Asfalto,1001,18,40.0
SSVE,Privado,Fazenda Cerro Verde,Tacuru,MS,-23.81277777777778,-55.05777777777777,12.508089888321114,VFR Diurna,Grama,900,30,30.0
SNZC,Privado,Fazenda Cervinho,Aquidauana,MS,-19.660555555555554,-55.625277777777775,9.558129195566238,VFR Diurna,Grama,1000,18,180.0
SSZB,Privado,Fazenda Chalana,Diamantino,MT,-14.165000000000001,-57.158055555555556,8.468571367301948,VFR Diurna,Terra,1000,18,100.0
SNOK,Privado,Fazenda Chão de Estrelas,Aurora do Pará,PA,-2.327222222222222,-47.651111111111106,10.731267298856467,VFR Diurna,Cascalho,950,21,100.0
SJKG,Privado,Fazenda Chapada Grande,Regeneração,PI,-6.3486111111111105,-42.476111111111116,9.157183600699156,VFR Diurna,Cascalho,1200,25,110.0
SIEG,Privado,Fazenda Chapadão,Guarda-Mor,MG,-17.89388888888889,-47.24388888888889,5.126320666935197,VFR Diurna,Terra,1250,20,80.0
SSGC,Privado,Fazenda Chapadão,Santo Antônio do Leverger,MT,-15.821111111111112,-55.99916666666667,7.760123619870948,VFR Diurna,Cascalho,1000,18,20.0
SSDH,Privado,Fazenda Chapadão Alegre,Correntina,BA,-13.432222222222222,-45.301111111111105,3.4957125415056045,VFR Diurna,Terra,1200,30,90.0
SJLB,Privado,Fazenda Chaparral,Lambari d'Oeste,MT,-15.570555555555556,-57.774166666666666,9.363908010297227,VFR Diurna,Cascalho,950,18,100.0
SDRH,Privado,Fazenda Chaparral,Campo Grande,MS,-20.844444444444445,-54.52611111111111,9.729754558334557,VFR Diurna,Cascalho,800,20,160.0
SWHF,Privado,Fazenda Chaparral,Correntina,BA,-13.473333333333333,-45.37166666666667,3.4311388617904823,VFR Diurna,Saibro,1590,30,100.0
SIDM,Privado,Fazenda Cibrapa,Barra do Garças,MT,-15.037222222222223,-52.098333333333336,3.9023168964723802,VFR Diurna,Cascalho,1000,25,20.0
SJPX,Privado,Fazenda Cidade Verde,Poxoréo,MT,-15.415277777777778,-54.37222222222222,6.1006934500094,VFR Diurna,Cascalho,1000,18,30.0
SSZV,Privado,Fazenda Cifrão,Pedra Preta,MT,-16.938333333333333,-54.43611111111111,6.900382929077283,VFR Diurna,Grama,860,20,80.0
SNKY,Privado,Fazenda Cikel,Paragominas,PA,-3.6644444444444444,-48.83444444444444,9.335777986717762,VFR Diurna,Piçarra,900,18,90.0
SJZN,Privado,Fazenda Cima,Sapezal,MT,-12.990555555555554,-58.60916666666667,9.839171199444355,VFR Diurna,Cascalho,1100,18,40.0
SISK,Privado,Fazenda Cimal,Aporé,GO,-18.864722222222223,-52.04722222222222,6.7182700331003575,VFR Diurna,Terra,600,23,160.0
SJAW,Privado,Fazenda Citrícola,Gavião Peixoto,SP,-21.724444444444444,-48.37722222222222,8.733281470725284,VFR Diurna,Terra,900,20,180.0
SWGV,Privado,Fazenda Cocal II,Canarana,MT,-12.801944444444445,-52.60777777777778,3.8428848895967893,VFR Diurna,Terra,1500,30,80.0
SWDD,Privado,Fazenda Colibri,Santo Antônio do Leverger,MT,-16.204166666666666,-55.39833333333333,7.362165904511763,VFR Diurna,Asfalto,1199,23,40.0
SWHN,Privado,Fazenda Colibri,Selvíria,MS,-20.22694444444444,-51.84583333333334,7.854264873145725,VFR Diurna,Terra,900,40,70.0
SNCF,Privado,Fazenda Colonial ,Verdelândia,MG,-15.450555555555555,-43.402499999999996,5.900447337351997,VFR Diurna,Cascalho,1150,20,120.0
SDLW,Privado,Fazenda Colorado,Aruanã,GO,-14.981944444444444,-50.849444444444444,2.872663046442281,VFR Diurna,Asfalto,1100,18,10.0
SJHO,Privado,Fazenda Colorado,Diamantino,MT,-13.951388888888888,-57.105555555555554,8.389673845725723,VFR Diurna,Cascalho,1200,20,30.0
SITC,Privado,Fazenda Colorado,Sorriso,MT,-13.132222222222223,-55.445277777777775,6.6765871616075785,VFR Diurna,Cascalho,1000,18,170.0
SDQU,Privado,Fazenda Colorado,Bom Jesus,PI,-9.255833333333333,-44.79944444444444,5.457480686867424,VFR Diurna,Terra,1300,30,110.0
SWOR,Privado,Fazenda Colorado,Britânia,GO,-15.453333333333333,-51.224722222222226,3.4705195047306754,VFR Diurna,Terra,900,32,30.0
SIWX,Privado,Fazenda Comil,Sapezal,MT,-13.92611111111111,-58.88333333333333,10.155648325007837,VFR Diurna,Cascalho,1050,18,10.0
SSYU,Privado,Fazenda Concórdia,Naviraí,MS,-22.851944444444445,-54.208333333333336,11.253278579190342,VFR Diurna,Cascalho,1000,20,60.0
SJQO,Privado,Fazenda Confiança,Baixa Grande do Ribeiro,PI,-7.948611111111111,-45.09055555555556,6.249387260087439,VFR Diurna,Terra,1300,25,110.0
SNXR,Privado,Fazenda Conforto,Itaituba,PA,-7.389722222222223,-56.52027777777778,9.567759527524883,VFR Diurna,Terra,800,23,30.0
SNLQ,Privado,Fazenda Conforto,Nova Crixás,GO,-14.065833333333334,-50.415277777777774,1.9603417203369944,VFR Diurna,Asfalto,1500,20,110.0
SNEW,Privado,Fazenda Congonhas,Carneirinho,MG,-19.662499999999998,-50.950833333333335,7.010345232424559,VFR Diurna,Asfalto,1423,19,110.0
SDFC,Privado,Fazenda Constância,Altair,SP,-20.48888888888889,-49.18888888888888,7.500594955825708,VFR Diurna,Terra,1000,23,180.0
SWCO,Privado,Fazenda Continental,Cocalinho,MT,-14.715555555555556,-51.209722222222226,2.9825115902209784,VFR Diurna,Terra,1000,23,160.0
SWBP,Privado,Fazenda Continental,Colômbia,SP,-20.241111111111113,-48.65833333333333,7.241972077266058,VFR Diurna,Cascalho,1300,40,100.0
SJXU,Privado,Fazenda Coperbrás,Brasília,DF,-15.750833333333333,-47.53972222222222,3.013414581213747,VFR Diurna,Cascalho,700,20,90.0
SICR,Privado,Fazenda Coração do Brasil,Pontes e Lacerda,MT,-15.97,-59.64333333333333,11.271658164519437,VFR Diurna,Saibro,1200,20,140.0
SWZC,Privado,Fazenda Corixo,Porto Esperidião,MT,-16.245833333333334,-58.894444444444446,10.632018121524235,VFR Diurna,Grama,950,20,90.0
SSZL,Privado,Fazenda Córrego Azul,Brasilândia,MS,-21.441666666666666,-52.1575,9.09598220980621,VFR Diurna,Grama,1000,25,60.0
SWMA,Privado,Fazenda Córrego do Mato,Camapuã,MS,-18.695,-53.57611111111112,7.451961420481571,VFR Diurna,Terra,1000,18,170.0
SNUM,Privado,Fazenda Córrego Fundo,Água Boa,MT,-13.730833333333333,-52.69416666666666,3.9916414404213234,VFR Diurna,Cascalho,1000,20,110.0
